meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,going_allowance,raw_figure,weight_adj,wfa_adj,figure_calibrated,figure_final
2026-03-17,FON,3,2026-03-17_FON_3,DANZICA GIRL,7.0,6.95935735305814,Souple,Turf,5,4,124.56102999999999,,7.199999999999999,0.2609455566408595,92.53478895633903,-1.4389700000000119,0.0,70.42039913528191,70.42039913528191
2026-03-17,FON,3,2026-03-17_FON_3,MARSIHO,8.0,6.95935735305814,Souple,Turf,5,4,127.86795999999998,,9.2,0.2609455566408595,86.95701583260687,1.8679599999999823,0.0,68.84230938267171,68.84230938267171
2026-03-17,FON,3,2026-03-17_FON_3,ZEPHYR SONG,9.0,6.95935735305814,Souple,Turf,5,4,124.56102999999999,,13.7,0.2609455566408595,74.40702630420952,-1.4389700000000119,0.0,57.822771329069106,57.822771329069106
2026-03-17,FON,4,2026-03-17_FON_4,CASSIUS,1.0,10.936132983377078,Souple,Turf,5,6,125.66333999999999,145.64,0.0,0.2609455566408595,69.9376806796216,-0.33666000000000906,0.0,55.482898371617566,55.482898371617566
2026-03-17,FON,4,2026-03-17_FON_4,MASTER CATH,2.0,10.936132983377078,Souple,Turf,5,4,123.45871999999999,,1.5,0.2609455566408595,67.14595314102587,-2.5412800000000146,0.0,52.0107585444601,52.0107585444601
2026-03-17,FON,4,2026-03-17_FON_4,MAGELLAN,3.0,10.936132983377078,Souple,Turf,5,6,123.45871999999999,,2.0,0.2609455566408595,66.21537729482729,-2.5412800000000146,0.0,51.364068250637,51.364068250637
2026-03-17,FON,4,2026-03-17_FON_4,ZULU WARRIOR,4.0,10.936132983377078,Souple,Turf,5,6,123.45871999999999,,2.75,0.2609455566408595,64.81951352552943,-2.5412800000000146,0.0,50.394032809902335,50.394032809902335
2026-03-17,FON,4,2026-03-17_FON_4,GALA,5.0,10.936132983377078,Souple,Turf,5,4,124.56102999999999,,2.85,0.2609455566408595,64.63339835628972,-1.4389700000000119,0.0,51.03072922398179,51.03072922398179
2026-03-17,FON,4,2026-03-17_FON_4,CUNNING FOX,6.0,10.936132983377078,Souple,Turf,5,5,125.66333999999999,,3.6,0.2609455566408595,63.237534586991856,-0.33666000000000906,0.0,50.8267282560912,50.8267282560912
2026-03-17,FON,4,2026-03-17_FON_4,ONE EYE JACK,7.0,10.936132983377078,Souple,Turf,5,4,123.45871999999999,,4.35,0.2609455566408595,61.841670817693995,-2.5412800000000146,0.0,48.3246238696684,48.3246238696684
2026-03-17,FON,4,2026-03-17_FON_4,ALTIAMA,8.0,10.936132983377078,Souple,Turf,5,4,124.56102999999999,,4.85,0.2609455566408595,60.911094971495416,-1.4389700000000119,0.0,48.44396804868936,48.44396804868936
