meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,raw_figure,weight_adj,figure_after_weight,wfa_adj,figure_after_wfa,figure_calibrated,figure_final
2026-03-18,BOR,7,2026-03-18_BOR_7,SWEEP AWAY,4.0,9.941939075797343,Très souple,Turf,5,6,123.45871999999999,,0.9500000000000001,122.74086946998759,2.0889286374676295,0.13678250602821418,115.67482762908621,-2.5412800000000146,113.1335476290862,0.0,113.1335476290862,87.06206390439766,87.06206390439766
2026-03-18,BOR,7,2026-03-18_BOR_7,PLATA D OCTOBRE,5.0,9.941939075797343,Très souple,Turf,5,4,123.45871999999999,,1.7000000000000002,122.74086946998759,2.0889286374676295,0.13678250602821418,114.10813115098549,-2.5412800000000146,111.56685115098547,0.0,111.56685115098547,85.94622507363772,85.94622507363772
2026-03-18,BOR,7,2026-03-18_BOR_7,SEVENDAY,6.0,9.941939075797343,Très souple,Turf,5,5,127.86795999999998,,2.2,122.74086946998759,2.0889286374676295,0.13678250602821418,113.06366683225167,1.8679599999999823,114.93162683225165,0.0,114.93162683225165,88.3426990648891,88.3426990648891
2026-03-18,BOR,7,2026-03-18_BOR_7,MERCI ELIE,7.0,9.941939075797343,Très souple,Turf,5,6,125.66333999999999,,2.35,122.74086946998759,2.0889286374676295,0.13678250602821418,112.75032753663153,-0.33666000000000906,112.41366753663152,0.0,112.41366753663152,86.54934802619144,86.54934802619144
2026-03-18,BOR,7,2026-03-18_BOR_7,MOKKA LATTE,8.0,9.941939075797343,Très souple,Turf,5,4,122.35640999999998,,2.85,122.74086946998759,2.0889286374676295,0.13678250602821418,111.70586321789771,-3.6435900000000174,108.0622732178977,0.0,108.0622732178977,83.45018056353297,83.45018056353297
2026-03-18,BOR,7,2026-03-18_BOR_7,ARCUBIATU,9.0,9.941939075797343,Très souple,Turf,5,6,123.45871999999999,,3.1,122.74086946998759,2.0889286374676295,0.13678250602821418,111.1836310585308,-2.5412800000000146,108.64235105853079,0.0,108.64235105853079,83.86332592288582,83.86332592288582
2026-03-18,BOR,7,2026-03-18_BOR_7,ROCQUEMONT,10.0,9.941939075797343,Très souple,Turf,5,10,134.48182,,9.1,122.74086946998759,2.0889286374676295,0.13678250602821418,98.65005923372503,8.481819999999999,107.13187923372503,0.0,107.13187923372503,82.7875316395347,82.7875316395347
2026-03-18,BOR,7,2026-03-18_BOR_7,GLAVIA,11.0,9.941939075797343,Très souple,Turf,5,4,132.2772,,9.85,122.74086946998759,2.0889286374676295,0.13678250602821418,97.08336275562431,6.2771999999999935,103.3605627556243,0.0,103.3605627556243,80.10150953622909,80.10150953622909
2026-03-18,BOR,7,2026-03-18_BOR_7,GIRAFFE,12.0,9.941939075797343,Très souple,Turf,5,6,127.86795999999998,,24.85,122.74086946998759,2.0889286374676295,0.13678250602821418,71.95800071525656,1.8679599999999823,73.82596071525654,0.0,73.82596071525654,,
2026-03-18,BOR,7,2026-03-18_BOR_7,MUNGASHA,13.0,9.941939075797343,Très souple,Turf,5,4,128.97027,,30.85,122.74086946998759,2.0889286374676295,0.13678250602821418,65.69121480285368,2.9702699999999993,68.66148480285368,0.0,68.66148480285368,,
2026-03-18,BOR,8,2026-03-18_BOR_8,TANIS,1.0,5.965163445478406,Très souple,Turf,5,5,131.17488999999998,69.57,0.0,68.74984661008283,3.502540978401996,0.13678250602821418,99.92603710525701,5.1748899999999765,105.10092710525699,0.0,105.10092710525699,81.34103879293912,81.34103879293912
2026-03-18,BOR,8,2026-03-18_BOR_8,HY DREAM,2.0,5.965163445478406,Très souple,Turf,5,8,125.66333999999999,,1.5,68.74984661008283,3.502540978401996,0.13678250602821418,94.67222563765401,-0.33666000000000906,94.335565637654,0.0,94.335565637654,73.67368999843578,73.67368999843578
2026-03-18,BOR,8,2026-03-18_BOR_8,RUMPLETEAZER,3.0,5.965163445478406,Très souple,Turf,5,5,132.2772,,1.65,68.74984661008283,3.502540978401996,0.13678250602821418,94.14684449089371,6.2771999999999935,100.4240444908937,0.0,100.4240444908937,78.01005075475888,78.01005075475888
2026-03-18,BOR,8,2026-03-18_BOR_8,STUNNING HERO,4.0,5.965163445478406,Très souple,Turf,5,4,132.2772,,1.7,68.74984661008283,3.502540978401996,0.13678250602821418,93.97171744197361,6.2771999999999935,100.2489174419736,0.0,100.2489174419736,77.88532106765425,77.88532106765425
2026-03-18,BOR,8,2026-03-18_BOR_8,EXPERTISE,5.0,5.965163445478406,Très souple,Turf,5,6,127.86795999999998,,1.95,68.74984661008283,3.502540978401996,0.13678250602821418,93.09608219737312,1.8679599999999823,94.9640421973731,0.0,94.9640421973731,74.1213060870397,74.1213060870397
2026-03-18,BOR,8,2026-03-18_BOR_8,IDAHO JAMES,6.0,5.965163445478406,Très souple,Turf,5,8,120.15178999999999,,2.7,68.74984661008283,3.502540978401996,0.13678250602821418,90.46917646357161,-5.848210000000009,84.6209664635716,0.0,84.6209664635716,66.75471932656025,66.75471932656025
2026-03-18,BOR,8,2026-03-18_BOR_8,FOR WIN,7.0,5.965163445478406,Très souple,Turf,5,5,127.86795999999998,,2.8000000000000003,68.74984661008283,3.502540978401996,0.13678250602821418,90.11892236573142,1.8679599999999823,91.9868823657314,0.0,91.9868823657314,72.00090140626082,72.00090140626082
2026-03-18,BOR,8,2026-03-18_BOR_8,MONSIEURVALCHOP,8.0,5.965163445478406,Très souple,Turf,5,7,127.86795999999998,,2.95,68.74984661008283,3.502540978401996,0.13678250602821418,89.59354121897113,1.8679599999999823,91.46150121897111,0.0,91.46150121897111,71.62671234494692,71.62671234494692
2026-03-18,BOR,8,2026-03-18_BOR_8,STUNNING ANGEL,9.0,5.965163445478406,Très souple,Turf,5,4,131.17488999999998,,3.1,68.74984661008283,3.502540978401996,0.13678250602821418,89.06816007221082,5.1748899999999765,94.24305007221079,0.0,94.24305007221079,73.6077981924515,73.6077981924515
2026-03-18,BOR,8,2026-03-18_BOR_8,UNE FRAGRANCE,10.0,5.965163445478406,Très souple,Turf,5,4,116.84485999999998,,3.25,68.74984661008283,3.502540978401996,0.13678250602821418,88.54277892545052,-9.155140000000017,79.3876389254505,0.0,79.3876389254505,63.02741785959072,63.02741785959072
2026-03-18,BOR,8,2026-03-18_BOR_8,AMORE MIA,11.0,5.965163445478406,Très souple,Turf,5,4,126.76565,,5.25,68.74984661008283,3.502540978401996,0.13678250602821418,81.53769696864653,0.7656499999999937,82.30334696864652,0.0,82.30334696864652,65.1040551018607,65.1040551018607
2026-03-18,BOR,8,2026-03-18_BOR_8,HAARICIA,12.0,5.965163445478406,Très souple,Turf,5,6,125.66333999999999,,7.25,68.74984661008283,3.502540978401996,0.13678250602821418,74.53261501184254,-0.33666000000000906,74.19595501184253,0.0,74.19595501184253,59.329775981402314,59.329775981402314
2026-03-18,CEP,3,2026-03-18_CEP_3,EASY AS PIE,1.0,10.43903602958721,Très souple,Turf,5,3,124.56102999999999,139.6,0.0,135.24856048675733,1.8957459975970545,0.39225275208265015,97.56682042402225,-1.4389700000000119,96.12785042402224,1.5609639704127893,97.68881439443503,75.29554349927156,75.29554349927156
