meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,raw_figure,weight_adj,figure_after_weight,wfa_adj,figure_after_wfa,figure_calibrated,figure_final
2026-03-16,CHA,3,2026-03-16_CHA_3,STREET SHOW,2.0,5.468066491688539,Lourd,Turf,3,125.66333999999999,,0.1,62.977143661729784,3.7354114737212867,0.82,71.2552277269618,-0.33666000000000906,70.9185677269618,5.063867016622922,75.98243474358472,66.26866070837258,66.26866070837258
2026-03-16,CHA,3,2026-03-16_CHA_3,AFJAN,3.0,5.468066491688539,Lourd,Turf,3,125.66333999999999,,0.85,62.977143661729784,3.7354114737212867,0.82,68.45366912167084,-0.33666000000000906,68.11700912167083,5.063867016622922,73.18087613829375,64.30756968466889,64.30756968466889
2026-03-16,CHA,3,2026-03-16_CHA_3,KAILANI,4.0,5.468066491688539,Lourd,Turf,3,125.66333999999999,,1.35,62.977143661729784,3.7354114737212867,0.82,66.58596338481019,-0.33666000000000906,66.24930338481018,5.063867016622922,71.3131704014331,63.00017566886644,63.00017566886644
2026-03-16,CHA,3,2026-03-16_CHA_3,INJU,5.0,5.468066491688539,Lourd,Turf,3,122.35640999999998,,1.85,62.977143661729784,3.7354114737212867,0.82,64.71825764794954,-3.6435900000000174,61.074667647949525,5.063867016622922,66.13853466457245,59.377930653063984,59.377930653063984
2026-03-16,CHA,3,2026-03-16_CHA_3,TRINQUETTE,6.0,5.468066491688539,Lourd,Turf,3,125.66333999999999,,2.35,62.977143661729784,3.7354114737212867,0.82,62.85055191108891,-0.33666000000000906,62.5138919110889,5.063867016622922,67.57775892771181,60.38538763726154,60.38538763726154
2026-03-16,CHA,3,2026-03-16_CHA_3,JEUDIXX,7.0,5.468066491688539,Lourd,Turf,3,122.35640999999998,,2.45,62.977143661729784,3.7354114737212867,0.82,62.47701076371678,-3.6435900000000174,58.83342076371676,5.063867016622922,63.89728778033968,57.80905783410105,57.80905783410105
2026-03-16,CHA,3,2026-03-16_CHA_3,MICHAEL THE GREAT,8.0,5.468066491688539,Lourd,Turf,3,125.66333999999999,,2.95,62.977143661729784,3.7354114737212867,0.82,60.609305026856134,-0.33666000000000906,60.272645026856125,5.063867016622922,65.33651204347905,58.81651481829861,58.81651481829861
2026-03-16,CHA,3,2026-03-16_CHA_3,EXCLAMATION,9.0,5.468066491688539,Lourd,Turf,3,125.66333999999999,,4.7,62.977143661729784,3.7354114737212867,0.82,54.072334947843885,-0.33666000000000906,53.735674947843876,5.063867016622922,58.7995419644668,54.24063576299003,54.24063576299003
2026-03-16,CHA,3,2026-03-16_CHA_3,BAKER BLUE,10.0,5.468066491688539,Lourd,Turf,3,125.66333999999999,,5.45,62.977143661729784,3.7354114737212867,0.82,51.27077634255292,-0.33666000000000906,50.93411634255291,5.063867016622922,55.997983359175834,52.27954473928636,52.27954473928636
2026-03-16,CHA,3,2026-03-16_CHA_3,ULYMINE,11.0,5.468066491688539,Lourd,Turf,3,125.66333999999999,,7.2,62.977143661729784,3.7354114737212867,0.82,44.733806263540664,-0.33666000000000906,44.397146263540655,5.063867016622922,49.46101328016358,47.703665683977775,47.703665683977775
2026-03-16,CHA,3,2026-03-16_CHA_3,AURORIAN CLOUDS,12.0,5.468066491688539,Lourd,Turf,3,125.66333999999999,,7.7,62.977143661729784,3.7354114737212867,0.82,42.86610052668002,-0.33666000000000906,42.52944052668001,5.063867016622922,47.593307543302934,46.396271668175324,46.396271668175324
2026-03-16,CHA,3,2026-03-16_CHA_3,BIRDCALL,13.0,5.468066491688539,Lourd,Turf,3,122.35640999999998,,11.7,62.977143661729784,3.7354114737212867,0.82,27.92445463179488,-3.6435900000000174,24.280864631794863,5.063867016622922,29.344731648417785,33.62226854175572,33.62226854175572
2026-03-16,CHA,4,2026-03-16_CHA_4,MR LOPE CEN,1.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,99.07,0.0,97.99696852287403,2.778460843479062,0.05701560919433525,91.39295475615567,1.8679599999999823,93.26091475615566,5.0,98.26091475615566,81.86359671717224,81.86359671717224
2026-03-16,CHA,4,2026-03-16_CHA_4,VEGAMIX,2.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,1.25,97.99696852287403,2.778460843479062,0.05701560919433525,87.91987870180685,1.8679599999999823,89.78783870180683,5.0,94.78783870180683,79.43244347912807,79.43244347912807
2026-03-16,CHA,4,2026-03-16_CHA_4,VERNON,3.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,5.75,97.99696852287403,2.778460843479062,0.05701560919433525,75.41680490615107,1.8679599999999823,77.28476490615105,5.0,82.28476490615105,70.68029182216901,70.68029182216901
2026-03-16,CHA,4,2026-03-16_CHA_4,WATCH THE KING,4.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,7.75,97.99696852287403,2.778460843479062,0.05701560919433525,69.85988321919294,1.8679599999999823,71.72784321919292,5.0,76.72784321919292,66.79044664129832,66.79044664129832
2026-03-16,CHA,4,2026-03-16_CHA_4,MISTER GEORGE,5.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,9.0,97.99696852287403,2.778460843479062,0.05701560919433525,66.38680716484411,1.8679599999999823,68.2547671648441,5.0,73.2547671648441,64.35929340325414,64.35929340325414
